iter	Logloss
0	0.6471089878
1	0.6049702088
2	0.5669444589
3	0.5319575715
4	0.5012270904
5	0.4719431512
6	0.4480089318
7	0.4242514651
8	0.4009428012
9	0.381218742
10	0.3635581657
11	0.3467571705
12	0.331467833
13	0.3172905272
14	0.3060197541
15	0.2945097646
16	0.2844299175
17	0.2752428315
18	0.2651875513
19	0.256989792
20	0.2503805804
21	0.2436456182
22	0.2368715269
23	0.230829343
24	0.2253518444
25	0.220725906
26	0.2164511863
27	0.2119372091
28	0.2081633825
29	0.2048549749
30	0.2018387617
31	0.1983556583
32	0.1955115155
33	0.1930451028
34	0.1908637102
35	0.1885213197
36	0.1863425778
37	0.1847117543
38	0.1830038012
39	0.1811152106
40	0.1792342199
41	0.1778499328
42	0.1764561109
43	0.1751023967
44	0.173756311
45	0.1727110275
46	0.1718189839
47	0.1707176279
48	0.1697655884
49	0.1689685177
50	0.1680863598
51	0.1673299124
52	0.1666008221
53	0.165791278
54	0.1649448683
55	0.1641221121
56	0.1633194524
57	0.1626186264
58	0.1619459771
59	0.1613671482
60	0.1609032611
61	0.160387818
62	0.1599470589
63	0.1593903989
64	0.1588340298
65	0.1585027022
66	0.1580582074
67	0.1575981385
68	0.1572437194
69	0.1567655517
70	0.1562090341
71	0.1559150452
72	0.1555438886
73	0.1552254639
74	0.1548117777
75	0.1544304356
76	0.1540706741
77	0.1537491083
78	0.153458634
79	0.1531068055
80	0.1528431953
81	0.1524550913
82	0.1521740812
83	0.1519699732
84	0.1517001844
85	0.1514538779
86	0.1511913718
87	0.1508605783
88	0.1505997286
89	0.1502663404
90	0.1500827845
91	0.1498068704
92	0.1496013309
93	0.1493564292
94	0.1491665291
95	0.1488484328
96	0.1486566304
97	0.1484718984
98	0.1482078786
99	0.1478927213
100	0.1475884456
101	0.1474355819
102	0.1472255633
103	0.1470706114
104	0.1467932818
105	0.1466537458
106	0.1464245013
107	0.1461734687
108	0.1460300277
109	0.1458410488
110	0.1456809476
111	0.1454536273
112	0.1452782582
113	0.1451891927
114	0.1450340165
115	0.144889615
116	0.1446460938
117	0.1445754944
118	0.1443938494
119	0.1441895784
120	0.1440845182
121	0.1438667043
122	0.1437101898
123	0.1436091758
124	0.1434965577
125	0.1433198801
126	0.1431649148
127	0.1430248349
128	0.142845476
129	0.1426902033
130	0.1426054866
131	0.1424013437
132	0.1422550629
133	0.1421526806
134	0.1420149662
135	0.1418573078
136	0.1416662203
137	0.1414517188
138	0.1414063148
139	0.1412616912
140	0.1410905257
141	0.1410341306
142	0.1409049177
143	0.1406840324
144	0.1405610613
145	0.1403938758
146	0.1402558276
