iter	Passed	Remaining
0	36	36466
1	74	36926
2	110	36577
3	147	36662
4	184	36666
5	221	36652
6	262	37242
7	303	37572
8	344	37910
9	383	37978
10	422	37994
11	460	37955
12	499	37926
13	538	37898
14	576	37825
15	614	37796
16	652	37756
17	690	37682
18	729	37668
19	768	37650
20	807	37663
21	846	37637
22	884	37588
23	922	37498
24	960	37458
25	998	37413
26	1037	37370
27	1075	37336
28	1113	37279
29	1151	37236
30	1191	37231
31	1229	37181
32	1266	37098
33	1303	37031
34	1341	36986
35	1378	36912
36	1417	36880
37	1454	36809
38	1493	36790
39	1531	36744
40	1569	36700
41	1606	36642
42	1644	36589
43	1681	36542
44	1719	36487
45	1756	36435
46	1796	36422
47	1833	36358
48	1870	36306
49	1908	36258
50	1946	36213
51	1983	36165
52	2021	36122
53	2059	36075
54	2096	36026
55	2135	35998
56	2174	35971
57	2212	35930
58	2249	35875
59	2288	35845
60	2325	35793
61	2362	35744
62	2399	35689
63	2437	35644
64	2474	35599
65	2511	35545
66	2549	35496
67	2586	35456
68	2623	35401
69	2660	35351
70	2699	35320
71	2736	35266
72	2774	35227
73	2811	35181
74	2850	35154
75	2887	35106
76	2924	35053
77	2961	35005
78	2998	34957
79	3035	34913
80	3072	34864
81	3110	34824
82	3147	34773
83	3183	34715
84	3220	34667
85	3256	34614
86	3293	34565
87	3331	34521
88	3368	34480
89	3406	34447
90	3443	34394
91	3481	34356
92	3517	34309
93	3555	34265
94	3590	34207
95	3629	34176
96	3666	34128
97	3702	34079
98	3740	34041
99	3778	34004
100	3815	33960
101	3852	33916
102	3889	33873
103	3925	33822
104	3963	33780
105	3999	33732
106	4036	33684
107	4073	33642
108	4109	33593
109	4146	33550
110	4183	33507
111	4220	33465
112	4258	33428
113	4294	33377
114	4330	33329
115	4367	33282
116	4403	33235
117	4445	33230
118	4486	33215
119	4528	33206
120	4565	33164
121	4603	33127
122	4639	33083
123	4677	33042
124	4715	33006
125	4752	32968
126	4790	32930
127	4827	32890
128	4865	32848
129	4901	32804
130	4938	32759
131	4976	32726
132	5016	32702
133	5054	32665
134	5091	32621
135	5127	32576
136	5165	32535
137	5202	32498
138	5238	32447
139	5275	32408
140	5313	32367
141	5348	32318
142	5384	32270
143	5424	32242
144	5461	32201
145	5497	32156
146	5534	32116
147	5571	32074
148	5607	32028
149	5644	31987
150	5687	31978
151	5725	31941
152	5762	31900
153	5799	31860
154	5836	31820
155	5874	31781
156	5912	31745
157	5951	31713
158	5989	31678
159	6026	31641
160	6064	31603
161	6101	31560
162	6137	31514
163	6173	31471
164	6211	31434
165	6248	31393
166	6286	31354
167	6324	31322
168	6362	31284
169	6401	31252
170	6439	31217
171	6477	31180
172	6514	31141
173	6552	31105
174	6589	31063
175	6626	31025
176	6663	30984
177	6700	30943
178	6738	30904
179	6775	30867
180	6812	30827
181	6849	30784
182	6886	30746
183	6924	30709
184	6961	30666
185	6997	30624
186	7034	30582
187	7071	30544
188	7110	30510
189	7147	30469
190	7186	30439
191	7224	30402
192	7263	30373
193	7302	30338
194	7341	30305
195	7380	30273
196	7417	30233
197	7454	30194
198	7492	30156
199	7529	30116
200	7567	30079
201	7604	30042
202	7640	29998
203	7677	29955
204	7713	29912
205	7750	29871
206	7786	29829
207	7824	29793
208	7860	29750
209	7897	29711
210	7934	29669
211	7971	29628
212	8007	29586
213	8043	29542
214	8079	29500
215	8117	29463
216	8153	29420
217	8190	29379
218	8226	29336
219	8263	29296
220	8299	29256
221	8336	29215
222	8372	29172
223	8408	29130
224	8445	29088
225	8488	29072
226	8526	29034
227	8563	28995
228	8600	28955
229	8637	28918
230	8673	28875
231	8709	28831
232	8746	28791
233	8782	28749
234	8818	28705
235	8853	28661
236	8889	28617
237	8927	28584
238	8967	28553
239	9010	28534
240	9047	28494
241	9085	28456
242	9122	28417
243	9159	28379
244	9195	28337
245	9233	28299
246	9269	28259
247	9307	28221
248	9343	28181
249	9382	28148
250	9422	28117
251	9462	28086
252	9502	28057
253	9542	28027
254	9585	28005
255	9626	27978
256	9666	27947
257	9707	27918
258	9747	27888
259	9786	27853
260	9825	27819
261	9865	27790
262	9906	27759
263	9943	27720
264	9980	27680
265	10017	27643
266	10054	27603
267	10092	27564
268	10129	27526
269	10166	27486
270	10202	27445
271	10240	27408
272	10278	27371
273	10314	27330
274	10354	27297
275	10392	27261
276	10430	27223
277	10466	27183
278	10503	27143
279	10541	27106
280	10577	27064
281	10613	27024
282	10651	26986
283	10688	26947
284	10725	26908
285	10764	26872
286	10800	26832
287	10836	26789
288	10873	26751
289	10911	26715
290	10949	26677
291	10988	26642
292	11027	26608
293	11064	26569
294	11101	26531
295	11138	26491
296	11173	26448
297	11212	26412
298	11248	26372
299	11285	26333
300	11323	26296
301	11361	26259
302	11399	26221
303	11436	26183
304	11474	26147
305	11511	26107
306	11549	26071
307	11587	26033
308	11623	25993
309	11659	25952
310	11697	25915
311	11736	25879
312	11774	25842
313	11810	25802
314	11847	25764
315	11884	25723
316	11921	25685
317	11959	25648
318	11998	25613
319	12036	25576
320	12072	25536
321	12108	25496
322	12145	25456
323	12182	25418
324	12219	25379
325	12258	25343
326	12296	25306
327	12332	25266
328	12368	25225
329	12405	25186
330	12441	25146
331	12479	25108
332	12515	25067
333	12551	25028
334	12587	24987
335	12624	24948
336	12662	24911
337	12698	24871
338	12735	24832
339	12772	24793
340	12809	24754
341	12845	24714
342	12881	24674
343	12917	24633
344	12955	24596
345	12992	24558
346	13032	24525
347	13072	24491
348	13112	24459
349	13149	24420
350	13187	24382
351	13225	24346
352	13262	24309
353	13300	24272
